|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                               Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |  #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
         KW202-00015  |                   eliza |       1 |       0 |     40 |       1 |   -1.1159 |   0.00112 |    1.000 |
         KW202-00016  |               tuongezee |       1 |       1 |      6 |       0 |    0.8326 |   0.00017 |    0.000 |
         KW202-00017  |    as a that ngoja that |         |         |        |         |           |           |          |
         KW202-00018  |             not show up |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00019  |            x wanasemaje |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00020  |                  shosho |       2 |       2 |     32 |       0 |    0.1073 |   0.00089 |    0.000 |
         KW202-00021  |              aliteremka |       2 |       1 |      9 |       1 |    0.2489 |   0.00025 |    0.500 |
         KW202-00022  |                 rachael |       1 |       0 |     16 |       1 |   -0.4464 |   0.00045 |    1.000 |
         KW202-00023  |              inaniambia |       1 |       1 |     25 |       0 |    0.3026 |   0.00070 |    0.000 |
         KW202-00024  |       ulimcall akashika |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00025  |                umetumia |         |         |        |         |           |           |          |
         KW202-00026  |                  umeona |       4 |       4 |     85 |       0 |   -1.3715 |   0.00237 |    0.000 |
         KW202-00027  |        henry unakuwanga |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00028  |               tusaidiwe |       1 |       0 |      1 |       1 |   -0.0279 |   0.00003 |    1.000 |
         KW202-00029  |                 tumboga |       1 |       1 |      7 |       0 |    0.8047 |   0.00020 |    0.000 |
         KW202-00030  |              atamtendea |       1 |       1 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00031  |                   tabia |      11 |       9 |     22 |       2 |    0.2043 |   0.00061 |    0.182 |
         KW202-00032  |                sitarudi |       1 |       1 |     13 |       0 |    0.6373 |   0.00036 |    0.000 |
         KW202-00033  |              amenipigia |       6 |       5 |     15 |       1 |    0.4148 |   0.00042 |    0.167 |
         KW202-00034  |                 ilipita |       1 |       1 |     19 |       0 |    0.4699 |   0.00053 |    0.000 |
         KW202-00035  |        pack hawakukupea |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00036  |                   aunty |      11 |       5 |     58 |       6 |   -1.1640 |   0.00162 |    0.545 |
         KW202-00037  |                 mnapata |       1 |       1 |     52 |       0 |   -0.4507 |   0.00145 |    0.000 |
         KW202-00038  |              umefikisha |       1 |       1 |      6 |       0 |    0.8326 |   0.00017 |    0.000 |
         KW202-00039  |                naivasha |       1 |       1 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00040  |             eager kukam |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00041  |                 haukula |       1 |       0 |     21 |       1 |   -0.5858 |   0.00059 |    1.000 |
         KW202-00042  |                  pastor |       1 |       1 |     40 |       0 |   -0.1159 |   0.00112 |    0.000 |
         KW202-00043  |               kunigonga |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00044  |          hataki kusikia |       2 |       2 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00045  |                  eunice |       1 |       1 |     27 |       0 |    0.2468 |   0.00075 |    0.000 |
         KW202-00046  |              ulipe rent |       1 |       0 |      4 |       1 |   -0.1116 |   0.00011 |    1.000 |
         KW202-00047  |                  rohoni |       1 |       1 |     19 |       0 |    0.4699 |   0.00053 |    0.000 |
         KW202-00048  |       kosa kuleta faida |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00049  |         tutaonana jioni |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00050  |                 wakenya |       2 |       2 |     43 |       0 |   -0.1996 |   0.00120 |    0.000 |
         KW202-00051  |              muda mrefu |       3 |       3 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00052  |              kukumbusha |       1 |       1 |      7 |       0 |    0.8047 |   0.00020 |    0.000 |
         KW202-00053  |                nitarudi |       3 |       3 |     34 |       0 |    0.0514 |   0.00095 |    0.000 |
         KW202-00054  |            gor umewaona |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00055  |         ngai woiye ngai |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00056  |                 in fact |       2 |       1 |      5 |       1 |    0.3605 |   0.00014 |    0.500 |
         KW202-00057  |              mbili hivi |       4 |       3 |      7 |       1 |    0.5547 |   0.00020 |    0.250 |
         KW202-00058  |               mke wangu |       2 |       2 |      4 |       0 |    0.8884 |   0.00011 |    0.000 |
         KW202-00059  |         kakakaa kakakaa |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00060  |                 unanona |       1 |       1 |     22 |       0 |    0.3863 |   0.00061 |    0.000 |
         KW202-00061  |             nishamaliza |       1 |       1 |      5 |       0 |    0.8605 |   0.00014 |    0.000 |
         KW202-00062  |                  robert |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00063  |                 station |       3 |       2 |     14 |       1 |    0.2761 |   0.00039 |    0.333 |
         KW202-00064  |                  anaota |       1 |       0 |     23 |       1 |   -0.6416 |   0.00064 |    1.000 |
         KW202-00065  |             tulete fujo |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00066  |                  bahati |       8 |       7 |     62 |       1 |   -0.8550 |   0.00173 |    0.125 |
         KW202-00067  |               kumsaidia |       1 |       1 |     30 |       0 |    0.1631 |   0.00084 |    0.000 |
         KW202-00068  |           papa jay live |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00069  |    kusema kwamba i am a |         |         |        |         |           |           |          |
         KW202-00070  |               nijipange |       1 |       0 |     23 |       1 |   -0.6416 |   0.00064 |    1.000 |
         KW202-00071  |               wanapeana |       1 |       0 |     18 |       1 |   -0.5022 |   0.00050 |    1.000 |
         KW202-00072  |                ametulia |       1 |       1 |      8 |       0 |    0.7768 |   0.00022 |    0.000 |
         KW202-00073  |                  anazaa |       1 |       1 |     31 |       0 |    0.1352 |   0.00086 |    0.000 |
         KW202-00074  |             kabla uanze |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00075  |               ina shida |       2 |       2 |     22 |       0 |    0.3862 |   0.00061 |    0.000 |
         KW202-00076  |                 kibarua |       1 |       1 |     17 |       0 |    0.5257 |   0.00047 |    0.000 |
         KW202-00077  |              namba yako |       2 |       2 |     10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00078  |               bei nafuu |       1 |       1 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00079  |         nikupatie namba |       2 |       1 |      1 |       1 |    0.4721 |   0.00003 |    0.500 |
         KW202-00080  |                 unamjua |       1 |       1 |     36 |       0 |   -0.0043 |   0.00100 |    0.000 |
         KW202-00081  |           usiweke sheng |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00082  |               suluhisho |       1 |       1 |      6 |       0 |    0.8326 |   0.00017 |    0.000 |
         KW202-00083  |              wenga fans |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00084  |               ungetumia |       1 |       1 |      7 |       0 |    0.8047 |   0.00020 |    0.000 |
         KW202-00085  |                 umepata |       7 |       7 |     42 |       0 |   -0.1719 |   0.00117 |    0.000 |
         KW202-00086  |                   balaa |       1 |       1 |     60 |       0 |   -0.6738 |   0.00167 |    0.000 |
         KW202-00087  |               kinatokea |       1 |       1 |      4 |       0 |    0.8884 |   0.00011 |    0.000 |
         KW202-00088  |             katika njia |       1 |       1 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00089  |                 obvious |       2 |       1 |     26 |       1 |   -0.2254 |   0.00073 |    0.500 |
         KW202-00090  |                ukicheza |       1 |       1 |     22 |       0 |    0.3863 |   0.00061 |    0.000 |
         KW202-00091  |                  chunga |       2 |       1 |     37 |       1 |   -0.5322 |   0.00103 |    0.500 |
         KW202-00092  |           nai bahatisha |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00093  |            nitakusaidia |       1 |       1 |      7 |       0 |    0.8047 |   0.00020 |    0.000 |
         KW202-00094  |             ulikuwa una |       1 |       1 |     82 |       0 |   -1.2876 |   0.00229 |    0.000 |
         KW202-00095  |           madawa health |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00096  |                wasiwasi |       2 |       2 |     10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00097  |                 wa pili |      15 |      14 |     17 |       1 |    0.4589 |   0.00047 |    0.067 |
         KW202-00098  |                 i swear |       1 |       1 |     20 |       0 |    0.4421 |   0.00056 |    0.000 |
         KW202-00099  |         anataka kuniona |       2 |       2 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00100  |             nikakutumia |       2 |       1 |      2 |       1 |    0.4442 |   0.00006 |    0.500 |
         KW202-00101  |                  fungua |       2 |       1 |     88 |       1 |   -1.9550 |   0.00246 |    0.500 |
         KW202-00102  |                   david |       3 |       2 |     12 |       1 |    0.3319 |   0.00033 |    0.333 |
         KW202-00103  |                tufungue |       1 |       1 |     14 |       0 |    0.6094 |   0.00039 |    0.000 |
         KW202-00104  |          d x wanasemaje |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00105  |                 kitaifa |       1 |       1 |     13 |       0 |    0.6373 |   0.00036 |    0.000 |
         KW202-00106  |                  huruma |       1 |       1 |     29 |       0 |    0.1910 |   0.00081 |    0.000 |
         KW202-00107  |           can i call it |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00108  |                 want to |       2 |       0 |     16 |       2 |   -0.4464 |   0.00045 |    1.000 |
         KW202-00109  |                   stage |      10 |       5 |     75 |       5 |   -1.5928 |   0.00209 |    0.500 |
         KW202-00110  |                 runinga |       1 |       0 |     28 |       1 |   -0.7811 |   0.00078 |    1.000 |
         KW202-00111  |                kumpigia |       2 |       2 |     25 |       0 |    0.3025 |   0.00070 |    0.000 |
         KW202-00112  |                ukiongea |       1 |       1 |     36 |       0 |   -0.0043 |   0.00100 |    0.000 |
         KW202-00113  |                   bench |       1 |       1 |     10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00114  |           lazima niende |       1 |       1 |      5 |       0 |    0.8605 |   0.00014 |    0.000 |
         KW202-00115  |             miaka ngapi |       1 |       1 |      7 |       0 |    0.8047 |   0.00020 |    0.000 |
         KW202-00116  |      ananjaa hakukunywa |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00117  |                  tukiwa |      10 |       8 |     79 |       2 |   -1.4045 |   0.00220 |    0.200 |
         KW202-00118  |                 ukilipa |       1 |       0 |     12 |       1 |   -0.3348 |   0.00033 |    1.000 |
         KW202-00119  |             yaliyo mema |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00120  |             angefikiria |       1 |       1 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00121  |           nilitoa nduru |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00122  |                  maseno |       1 |       1 |     13 |       0 |    0.6373 |   0.00036 |    0.000 |
         KW202-00123  |                 tumekaa |       4 |       4 |     23 |       0 |    0.3583 |   0.00064 |    0.000 |
         KW202-00124  |          do not show up |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00125  |                   y d x |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00126  |              hatutaenda |       2 |       2 |     23 |       0 |    0.3583 |   0.00064 |    0.000 |
         KW202-00127  |                   pombe |       3 |       3 |     55 |       0 |   -0.5344 |   0.00153 |    0.000 |
         KW202-00128  |             nikikungoja |       1 |       1 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00129  |           anacall ahmed |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00130  |                nilirudi |       3 |       3 |     36 |       0 |   -0.0044 |   0.00100 |    0.000 |
         KW202-00131  |               atakosaje |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00132  |               hawatoshi |       1 |       0 |      2 |       1 |   -0.0558 |   0.00006 |    1.000 |
         KW202-00133  |          nataka kuongea |       1 |       0 |     13 |       1 |   -0.3627 |   0.00036 |    1.000 |
         KW202-00134  |       nitakuwa nimefika |       5 |       5 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00135  |            wanaangaliwa |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00136  |              kam ucheki |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00137  |          hizo vitu zote |       2 |       2 |      3 |       0 |    0.9163 |   0.00008 |    0.000 |
         KW202-00138  |           itakaa itakaa |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00139  |               nilifanya |       2 |       2 |     56 |       0 |   -0.5623 |   0.00156 |    0.000 |
         KW202-00140  |             am here for |       2 |       0 |      0 |       2 |    0.0000 |   0.00000 |    1.000 |
         KW202-00141  |               unaombewa |       1 |       0 |      1 |       1 |   -0.0279 |   0.00003 |    1.000 |
         KW202-00142  |            kuongea nami |       1 |       1 |      6 |       0 |    0.8326 |   0.00017 |    0.000 |
         KW202-00143  |                 githeri |       4 |       1 |      1 |       3 |    0.2221 |   0.00003 |    0.750 |
         KW202-00144  |               niwahardy |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00145  |               nitafanya |       5 |       4 |     52 |       1 |   -0.6508 |   0.00145 |    0.200 |
         KW202-00146  |                nilipewa |       1 |       0 |     51 |       1 |   -1.4228 |   0.00142 |    1.000 |
         KW202-00147  |                 watumie |       1 |       1 |     43 |       0 |   -0.1996 |   0.00120 |    0.000 |
         KW202-00148  |                and then |       3 |       0 |     18 |       3 |   -0.5022 |   0.00050 |    1.000 |
         KW202-00149  |                  is too |       2 |       0 |     25 |       2 |   -0.6975 |   0.00070 |    1.000 |
         KW202-00150  |                  i mean |       2 |       0 |     47 |       2 |   -1.3112 |   0.00131 |    1.000 |
         KW202-00151  |               haikuangi |       1 |       1 |      7 |       0 |    0.8047 |   0.00020 |    0.000 |
         KW202-00152  |           mpoa akwambie |         |         |        |         |           |           |          |
         KW202-00153  |               kifo kifo |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00154  |             nimeshikana |       1 |       1 |     19 |       0 |    0.4699 |   0.00053 |    0.000 |
         KW202-00155  |                 unaijua |       1 |       1 |     41 |       0 |   -0.1438 |   0.00114 |    0.000 |
         KW202-00156  |                 ulikula |       1 |       1 |     54 |       0 |   -0.5065 |   0.00151 |    0.000 |
         KW202-00157  |             nilishangaa |       1 |       1 |     10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00158  |               mshanunua |       1 |       1 |      2 |       0 |    0.9442 |   0.00006 |    0.000 |
         KW202-00159  |           tunaleta fujo |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00160  |               tukicheza |       1 |       0 |     10 |       1 |   -0.2790 |   0.00028 |    1.000 |
         KW202-00161  |            coin ukiweka |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00162  |                tunakula |       1 |       1 |     21 |       0 |    0.4142 |   0.00059 |    0.000 |
         KW202-00163  |            bell ikiring |         |         |        |         |           |           |          |
         KW202-00164  |           madogo madogo |       2 |       2 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00165  |                 malaria |       1 |       0 |     18 |       1 |   -0.5022 |   0.00050 |    1.000 |
         KW202-00166  |               utatafuta |       1 |       1 |     13 |       0 |    0.6373 |   0.00036 |    0.000 |
         KW202-00167  |           ilikuwa mbaya |       2 |       2 |      3 |       0 |    0.9163 |   0.00008 |    0.000 |
         KW202-00168  |             ukinitafuta |       1 |       1 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00169  |              ako karibu |       4 |       4 |     10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00170  |           nitakuja nazo |       5 |       3 |      0 |       2 |    0.6000 |   0.00000 |    0.400 |
         KW202-00171  |                 kutumia |       6 |       5 |     45 |       1 |   -0.4222 |   0.00126 |    0.167 |
         KW202-00172  |           wanaendeleaje |       2 |       1 |     20 |       1 |   -0.0580 |   0.00056 |    0.500 |
         KW202-00173  |         kinaweza saidia |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00174  |             kuna kijana |       2 |       2 |      5 |       0 |    0.8605 |   0.00014 |    0.000 |
         KW202-00175  |               kituo cha |       2 |       2 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00176  |                nitazima |       1 |       1 |     13 |       0 |    0.6373 |   0.00036 |    0.000 |
         KW202-00177  |               nikaongea |       1 |       1 |     33 |       0 |    0.0794 |   0.00092 |    0.000 |
         KW202-00178  |            unaweza enda |       2 |       2 |     21 |       0 |    0.4141 |   0.00059 |    0.000 |
         KW202-00179  |               tutafanya |      13 |      12 |     30 |       1 |    0.0859 |   0.00084 |    0.077 |
         KW202-00180  |                  ripoti |       3 |       3 |     21 |       0 |    0.4141 |   0.00059 |    0.000 |
         KW202-00181  |                   daudi |       2 |       2 |     11 |       0 |    0.6931 |   0.00031 |    0.000 |
         KW202-00182  |                  tukuwe |       1 |       1 |     93 |       0 |   -1.5945 |   0.00259 |    0.000 |
         KW202-00183  |               rael rael |         |         |        |         |           |           |          |
         KW202-00184  |          marafiki zangu |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00185  |            atupe hekima |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00186  |                 imeweka |       1 |       0 |     33 |       1 |   -0.9206 |   0.00092 |    1.000 |
         KW202-00187  |              alimdirect |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00188  |             ken ken ken |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00189  |            kutoka kwako |       2 |       2 |      4 |       0 |    0.8884 |   0.00011 |    0.000 |
         KW202-00190  |                 akipiga |       1 |       1 |      9 |       0 |    0.7489 |   0.00025 |    0.000 |
         KW202-00191  |              only asked |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00192  |          buying centers |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00193  |                nikisema |       1 |       1 |     19 |       0 |    0.4699 |   0.00053 |    0.000 |
         KW202-00194  |               themanini |       7 |       6 |     10 |       1 |    0.5781 |   0.00028 |    0.143 |
         KW202-00195  |                  kakazi |       1 |       1 |     34 |       0 |    0.0515 |   0.00095 |    0.000 |
         KW202-00196  |           an understate |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00197  |         that's a lot of |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00198  |              mahali uko |       3 |       2 |     37 |       1 |   -0.3656 |   0.00103 |    0.333 |
         KW202-00199  |                  mtungi |       2 |       1 |     15 |       1 |    0.0815 |   0.00042 |    0.500 |
         KW202-00200  |      angaza itawezekana |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00201  |                 serious |       9 |       8 |     60 |       1 |   -0.7853 |   0.00167 |    0.111 |
         KW202-00202  |               hautaisha |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00203  |                 atarudi |       6 |       5 |     23 |       1 |    0.1916 |   0.00064 |    0.167 |
         KW202-00204  |                 kuuliza |       2 |       2 |     77 |       0 |   -1.1482 |   0.00215 |    0.000 |
         KW202-00205  |               alikuwako |       1 |       0 |     38 |       1 |   -1.0601 |   0.00106 |    1.000 |
         KW202-00206  |             anakasirika |       1 |       1 |      3 |       0 |    0.9163 |   0.00008 |    0.000 |
         KW202-00207  |             mama watoto |       1 |       1 |      5 |       0 |    0.8605 |   0.00014 |    0.000 |
         KW202-00208  |       utoto unakumaliza |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00209  |               walipitwa |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00210  |           at the end of |       1 |       0 |      1 |       1 |   -0.0279 |   0.00003 |    1.000 |
         KW202-00211  |               next week |       4 |       3 |     37 |       1 |   -0.2823 |   0.00103 |    0.250 |
         KW202-00212  |              nikupeleke |       1 |       1 |     17 |       0 |    0.5257 |   0.00047 |    0.000 |
         KW202-00213  |         they first came |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00214  |               leo usiku |       2 |       2 |     24 |       0 |    0.3304 |   0.00067 |    0.000 |
         KW202-00215  |                papa jay |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00216  |              sijachukua |       1 |       1 |      5 |       0 |    0.8605 |   0.00014 |    0.000 |
         KW202-00217  |                   mpate |       1 |       1 |     58 |       0 |   -0.6181 |   0.00162 |    0.000 |
         KW202-00218  |                  mwanzo |       4 |       3 |     50 |       1 |   -0.6450 |   0.00140 |    0.250 |
         KW202-00219  |            haiwezi isha |       1 |       1 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00220  |                   asked |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00221  |             inaitwa aje |       3 |       3 |     12 |       0 |    0.6652 |   0.00033 |    0.000 |
         KW202-00222  |                yatakuwa |       3 |       3 |     32 |       0 |    0.1072 |   0.00089 |    0.000 |
         KW202-00223  |                 amebeba |       1 |       1 |     18 |       0 |    0.4978 |   0.00050 |    0.000 |
         KW202-00224  |             wakiniuliza |       1 |       1 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00225  |             fanya bidii |         |         |        |         |           |           |          |
         KW202-00226  |               nchi yetu |       3 |       1 |      5 |       2 |    0.1938 |   0.00014 |    0.667 |
         KW202-00227  |           pelekwa coast |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00228  |                mwengine |       5 |       3 |     88 |       2 |   -1.8552 |   0.00246 |    0.400 |
         KW202-00229  |               tunaonana |       1 |       0 |     38 |       1 |   -1.0601 |   0.00106 |    1.000 |
         KW202-00230  |                umezeeka |       1 |       1 |     14 |       0 |    0.6094 |   0.00039 |    0.000 |
         KW202-00231  |               nakupikia |       1 |       1 |      8 |       0 |    0.7768 |   0.00022 |    0.000 |
         KW202-00232  |            haitafanyika |       1 |       0 |      4 |       1 |   -0.1116 |   0.00011 |    1.000 |
         KW202-00233  |              were alert |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00234  |           online kumake |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00235  |                umekawia |       1 |       1 |      6 |       0 |    0.8326 |   0.00017 |    0.000 |
         KW202-00236  |          pahali mnaenda |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00237  |               boyfriend |       1 |       1 |      1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00238  |               nifanyiwe |       1 |       1 |      4 |       0 |    0.8884 |   0.00011 |    0.000 |
         KW202-00239  |                wamesoma |       1 |       1 |     21 |       0 |    0.4142 |   0.00059 |    0.000 |
         KW202-00240  |              at the end |       1 |       0 |      1 |       1 |   -0.0279 |   0.00003 |    1.000 |
         KW202-00241  |                   letea |       1 |       1 |     96 |       0 |   -1.6782 |   0.00268 |    0.000 |
         KW202-00242  |                    ward |       1 |       0 |     79 |       1 |   -2.2039 |   0.00220 |    1.000 |
         KW202-00243  |                nikiweka |       1 |       0 |     25 |       1 |   -0.6974 |   0.00070 |    1.000 |
         KW202-00244  |                 biriani |       1 |       1 |     16 |       0 |    0.5536 |   0.00045 |    0.000 |
         KW202-00245  |                  turuke |       1 |       1 |      7 |       0 |    0.8047 |   0.00020 |    0.000 |
         KW202-00246  |      kufuja mali kupora |         |         |        |         |           |           |          |
         KW202-00247  |                 wapatie |       1 |       0 |     37 |       1 |   -1.0322 |   0.00103 |    1.000 |
         KW202-00248  |             ngumu kiasi |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00249  |                nilienda |      11 |      10 |     59 |       1 |   -0.7373 |   0.00165 |    0.091 |
         KW202-00250  |                  niweke |       1 |       1 |     64 |       0 |   -0.7854 |   0.00179 |    0.000 |
         KW202-00251  |             jesse aamke |       1 |       0 |      0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00252  |         shambani nalima |       1 |       1 |      0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00253  |                    lenu |       1 |       0 |     48 |       1 |   -1.3391 |   0.00134 |    1.000 |
